nome,cpf,matricula,orgao,cargo,competencia,vencimentos,descontos,liquido
Servidor 1,202.535.960-24,A-1000,Secretaria da Saúde,Assistente,202401,2793.0,429.0,2364.0
Servidor 1,202.535.960-24,A-1000,Secretaria da Saúde,Assistente,202402,2893.0,429.0,2464.0
Servidor 1,202.535.960-24,A-1000,Secretaria da Saúde,Assistente,202403,2893.0,429.0,2464.0
Servidor 1,202.535.960-24,A-1000,Secretaria da Saúde,Assistente,202404,2993.0,429.0,2564.0
Servidor 2,206.171.800-30,A-1001,Secretaria da Fazenda,Assistente,202401,3834.0,874.0,2960.0
Servidor 2,206.171.800-30,A-1001,Secretaria da Fazenda,Assistente,202402,3934.0,874.0,3060.0
Servidor 2,206.171.800-30,A-1001,Secretaria da Fazenda,Assistente,202403,3934.0,874.0,3060.0
Servidor 2,206.171.800-30,A-1001,Secretaria da Fazenda,Assistente,202404,4034.0,874.0,3160.0
Servidor 3,714.221.566-96,A-1002,Secretaria da Fazenda,Analista,202404,4116.0,250.0,3866.0
Servidor 4,430.558.187-33,A-1003,Secretaria da Educação,Assistente,202402,7779.0,1208.0,6571.0
Servidor 5,230.761.408-11,A-1004,Secretaria da Educação,Analista,202403,6106.0,246.0,5860.0
Servidor 6,443.591.513-47,A-1005,Secretaria da Saúde,Assistente,202402,5325.0,1014.0,4311.0
Servidor 7,485.291.376-42,A-1006,Secretaria da Saúde,Gestor,202401,7961.0,1408.0,6553.0
Servidor 8,559.413.121-98,A-1007,Secretaria da Fazenda,Gestor,202402,4919.0,799.0,4120.0
Servidor 9,660.574.158-51,A-1008,Secretaria de Administração,Técnico,202403,4597.0,181.0,4416.0
Servidor 10,575.799.882-71,A-1009,Secretaria da Fazenda,Gestor,202403,5205.0,613.0,4592.0
Servidor 11,786.662.975-64,A-1010,Secretaria da Educação,Gestor,202404,6807.0,914.0,5893.0
Servidor 12,343.931.604-12,A-1011,Secretaria da Fazenda,Gestor,202402,8166.0,808.0,7358.0
Servidor 13,584.918.746-30,A-1012,Secretaria de Administração,Analista,202403,2814.0,845.0,1969.0
Servidor 14,940.266.373-13,A-1013,Secretaria da Saúde,Gestor,202401,2345.0,1122.0,1223.0
Servidor 15,700.415.113-18,A-1014,Secretaria de Administração,Gestor,202404,4349.0,806.0,3543.0
Servidor 16,445.664.997-93,A-1015,Secretaria de Administração,Técnico,202401,2362.0,570.0,1792.0
Servidor 17,191.466.554-53,A-1016,Secretaria de Administração,Gestor,202402,4443.0,1242.0,3201.0
Servidor 18,608.875.134-87,A-1017,Secretaria da Saúde,Gestor,202402,4265.0,495.0,3770.0
Servidor 19,180.661.971-13,A-1018,Secretaria de Administração,Assistente,202402,4188.0,360.0,3828.0
Servidor 20,101.489.665-13,A-1019,Secretaria de Administração,Técnico,202404,5005.0,904.0,4101.0
Servidor 21,921.576.802-27,A-1020,Secretaria de Administração,Técnico,202403,5281.0,1033.0,4248.0
Servidor 22,829.655.261-83,A-1021,Secretaria da Educação,Técnico,202404,2984.0,1379.0,1605.0
