nome;cpf;matricula;orgao;cargo
Servidor 1;202.535.960-24;A-1000;Secretaria da Saúde;Assistente
Servidor 2;206.171.800-30;A-1001;Secretaria da Fazenda;Assistente
Servidor 3;714.221.566-96;A-1002;Secretaria da Fazenda;Analista
Servidor 4;430.558.187-33;A-1003;Secretaria da Educação;Assistente
Servidor 5;230.761.408-11;A-1004;Secretaria da Educação;Analista
Servidor 6;443.591.513-47;A-1005;Secretaria da Saúde;Assistente
Servidor 7;485.291.376-42;A-1006;Secretaria da Saúde;Gestor
Servidor 8;559.413.121-98;A-1007;Secretaria da Fazenda;Gestor
Servidor 9;660.574.158-51;A-1008;Secretaria de Administração;Técnico
Servidor 10;575.799.882-71;A-1009;Secretaria da Fazenda;Gestor
Servidor 11;786.662.975-64;A-1010;Secretaria da Educação;Gestor
Servidor 12;343.931.604-12;A-1011;Secretaria da Fazenda;Gestor
Servidor 13;584.918.746-30;A-1012;Secretaria de Administração;Analista
Servidor 14;940.266.373-13;A-1013;Secretaria da Saúde;Gestor
Servidor 15;700.415.113-18;A-1014;Secretaria de Administração;Gestor
Servidor 16;445.664.997-93;A-1015;Secretaria de Administração;Técnico
Servidor 17;191.466.554-53;A-1016;Secretaria de Administração;Gestor
Servidor 18;608.875.134-87;A-1017;Secretaria da Saúde;Gestor
Servidor 19;180.661.971-13;A-1018;Secretaria de Administração;Assistente
Servidor 20;101.489.665-13;A-1019;Secretaria de Administração;Técnico
Servidor 21;921.576.802-27;A-1020;Secretaria de Administração;Técnico
Servidor 22;829.655.261-83;A-1021;Secretaria da Educação;Técnico
Servidor 23;369.962.915-24;A-1022;Secretaria de Administração;Técnico
Servidor 24;555.561.826-71;A-1023;Secretaria da Saúde;Técnico
Servidor 25;395.824.819-91;A-1024;Secretaria de Administração;Técnico
Servidor 26;978.152.891-35;A-1025;Secretaria de Administração;Analista
Servidor 27;316.863.287-50;A-1026;Secretaria da Saúde;Gestor
Servidor 28;256.114.912-74;A-1027;Secretaria de Administração;Técnico
Servidor 29;956.938.620-97;A-1028;Secretaria da Saúde;Gestor
Servidor 30;228.747.571-72;A-1029;Secretaria de Administração;Gestor
Servidor 31;238.598.692-17;A-1030;Secretaria da Saúde;Analista
Servidor 32;774.518.388-14;A-1031;Secretaria de Administração;Técnico
Servidor 33;589.330.140-37;A-1032;Secretaria de Administração;Assistente
Servidor 34;234.300.939-21;A-1033;Secretaria da Educação;Analista
Servidor 35;132.147.602-32;A-1034;Secretaria da Educação;Assistente
Servidor 36;673.827.904-53;A-1035;Secretaria de Administração;Gestor
Servidor 37;971.825.646-74;A-1036;Secretaria de Administração;Gestor
Servidor 38;838.712.561-12;A-1037;Secretaria da Fazenda;Analista
Servidor 39;868.104.317-23;A-1038;Secretaria da Saúde;Analista
Servidor 40;970.894.492-88;A-1039;Secretaria da Fazenda;Assistente
Servidor 41;114.957.653-86;A-1040;Secretaria da Educação;Técnico
Servidor 42;790.674.963-61;A-1041;Secretaria da Educação;Assistente
Servidor 43;195.833.584-32;A-1042;Secretaria da Educação;Analista
Servidor 44;330.848.754-52;A-1043;Secretaria da Educação;Assistente
Servidor 45;640.135.624-41;A-1044;Secretaria de Administração;Analista
Servidor 46;938.798.342-95;A-1045;Secretaria da Educação;Assistente
Servidor 47;895.677.781-54;A-1046;Secretaria de Administração;Analista
Servidor 48;673.745.895-37;A-1047;Secretaria de Administração;Analista
Servidor 49;719.655.439-39;A-1048;Secretaria da Educação;Analista
Servidor 50;430.739.605-98;A-1049;Secretaria da Educação;Técnico
Servidor 51;330.289.324-10;A-1050;Secretaria da Saúde;Assistente
Servidor 52;476.382.732-86;A-1051;Secretaria da Fazenda;Assistente
Servidor 53;844.358.458-79;A-1052;Secretaria da Educação;Assistente
Servidor 54;555.510.748-71;A-1053;Secretaria da Saúde;Analista
Servidor 55;776.324.918-53;A-1054;Secretaria da Saúde;Assistente
Servidor 56;763.926.473-41;A-1055;Secretaria da Fazenda;Assistente
Servidor 57;707.571.332-61;A-1056;Secretaria de Administração;Analista
Servidor 58;212.929.596-67;A-1057;Secretaria da Educação;Gestor
Servidor 59;663.367.609-48;A-1058;Secretaria da Fazenda;Analista
Servidor 60;485.486.212-65;A-1059;Secretaria da Educação;Assistente
Servidor 61;180.798.212-11;A-1060;Secretaria da Saúde;Analista
Servidor 62;741.319.665-96;A-1061;Secretaria da Saúde;Gestor
Servidor 63;835.324.484-28;A-1062;Secretaria de Administração;Analista
Servidor 64;737.229.152-53;A-1063;Secretaria da Saúde;Assistente
Servidor 65;829.771.809-41;A-1064;Secretaria da Saúde;Gestor
Servidor 66;346.935.538-84;A-1065;Secretaria da Fazenda;Técnico
